code,name,status,codeforiati:organisation-type-code,codeforiati:hq-country-or-region,codeforiati:organisation-type,codeforiati:registry-identifier
DE-AG-VR7795,Fairtrade Labelling Organizations International e.V.,active,21,Germany,International NGO,fairtrade_international
NL-KVK-41210098,Both ENDS,active,22,Netherlands,National NGO,bothends
NL-KVK-20093733,Heifer Nederland,active,22,Netherlands,National NGO,heifernederland
GB-CHC-1112699,Teach A Man To Fish,active,21,United Kingdom,International NGO,tamtf
NL-KVK-34141098,Fairfood International,active,22,Netherlands,National NGO,fairfood
NL-KVK-41201806,Transnational Institute,active,60,Netherlands,Foundation,tni
GB-CHC-261488,Amref Health Africa UK,active,21,United Kingdom,International NGO,amrefha
XI-IATI-CHSA,Association CHS Alliance,active,21,Switzerland,International NGO,chs_alliance
NL-KVK-40535338,Amigos de la Tierra Internacional,active,21,Netherlands,International NGO,foei
PK-MSW-633-1965,Rahnuma-Family Planning Assocation of Pakistan,active,22,Pakistan,National NGO,rfpap
GB-CHC-1147083,Rojiroti UK,active,21,United Kingdom,International NGO,rojiroti
GB-CHC-1125512,Lively Minds,active,21,United Kingdom,International NGO,livelyminds
NL-KVK-27108436,Oxfam Novib,active,21,Netherlands,International NGO,onl
GB-COH-877338,Institute of Development Studies,active,80,United Kingdom,"Academic, Training and Research",ids
GB-SC-SC032327,EMMS International,active,21,United Kingdom,International NGO,emms
US-EIN-522043740,"Discovery Learning Alliance, Inc.",active,21,United States,International NGO,dla
GB-CHC-1128267-8,HelpAge International UK,active,22,United Kingdom,National NGO,ageintl
GB-CHC-293734,Christian Engineers in Development,active,21,United Kingdom,International NGO,ced
GB-GOV-7,"Reino Unido: Ministerio de Medio Ambiente, Alimentación y Asuntos Rurales",active,10,United Kingdom,Government,defra_transparency
BE-BCE_KBO-0447404580,Avocats Sans Frontières,active,22,Belgium,National NGO,asf
US-501c3-522318905,AidData,active,80,United States,"Academic, Training and Research",aiddata
XM-DAC-701-8,Agencia de Cooperación Internacional del Japón (JICA),active,10,Japan,Government,jica
GB-SC-037597,CIFAL Scotland,active,80,United Kingdom,"Academic, Training and Research",cifal
GH-RGD-CG220182018,,active,60,Ghana,Foundation,star_ghanafoundation
US-EIN-84-1166148,Water for People,active,21,United States,International NGO,w4p
NL-KVK-27248417,Aqua for All,active,60,Netherlands,Foundation,aqua4all
GB-CHC-1112734,PHASE Worldwide,active,21,United Kingdom,International NGO,phase_worldwide
KE-NGC-9381,Across,active,21,Kenya,International NGO,across
GB-CHC-295224,Muslim Aid,active,21,United Kingdom,International NGO,muslimaid
GB-CHC-250456,Find Your Feet,active,21,United Kingdom,International NGO,fyf
XM-DAC-47501,Alianza Mundial para la Educación,active,40,United States,Multilateral,gpe
GB-CHC-1086159,One to One Children's Fund,active,21,United Kingdom,International NGO,onetoonecf
IN-ITA-1886,Micro Insurance Academy,active,80,India,"Academic, Training and Research",mia_india
GB-CHC-1121273,FRANK Water,active,21,United Kingdom,International NGO,frankwater
GB-COH-3799145,Coffey International Development,active,70,United Kingdom,Private Sector,coffey
GB-COH-04276635,act4africa,active,21,United Kingdom,International NGO,act4africa
NL-KVK-41022454,Stichting Red een Kind,active,21,Netherlands,International NGO,redeenkind
GB-CHC-1096479,ShelterBox,active,21,United Kingdom,International NGO,shelterbox
GB-CHC-1108464,Bees Abroad UK,active,21,United Kingdom,International NGO,bauk
US-EIN-13-5563422,Servicios Católicos de Socorro,active,21,United States,International NGO,crs
XM-DAC-41108,Fondo Internacional de Desarrollo Agrícola (FIDA),active,40,(No country assigned),Multilateral,ifad
GB-CHC-1001813,The HALO Trust,active,21,United Kingdom,International NGO,halo
NL-KVK-56484038,ICCO Cooperation,active,21,Netherlands,International NGO,icco-cooperation
GB-CHC-1077889,Pump Aid,active,21,United Kingdom,International NGO,pumpaid
GB-CHC-328273,Food for the Hungry UK,active,21,United Kingdom,International NGO,fh
GB-CHC-1126550,PEAS (Promoting Equality in African Schools),active,21,United Kingdom,International NGO,peas
UA-EDR-37199602,Kyiv School of Economics and Management,active,80,Ukraine,"Academic, Training and Research",kse
GB-CHC-270901,,active,21,United Kingdom,International NGO,eddevtrust
GB-CHC-1122799,Retrak,active,21,United Kingdom,International NGO,retrak
XM-DAC-30010,Unitaid,active,40,Switzerland,Multilateral,utd
GB-SC-044007,Bioclimate Research and Development,active,21,United Kingdom,International NGO,bioclimate
GB-CHC-220949,Cruz Roja Británica,active,21,United Kingdom,International NGO,gb-chc-220949
NL-KVK-32108345,CHOICE for Youth and Sexuality,active,21,Netherlands,International NGO,cfyas
NL-KVK-27378529,Netherlands Enterprise Agency,active,10,Netherlands,Government,rvo
NL-KVK-41180500,SeeYou Foundation,active,21,Netherlands,International NGO,syf
XM-DAC-47086,Grupo de Desarrollo de Infraestructuras del Sector Privado,active,40,United Kingdom,Multilateral,pidg
GB-CHC-1079599,BasicNeeds,active,21,United Kingdom,International NGO,basicneeds
GB-CHC-1071660,Cecily's Fund,active,21,United Kingdom,International NGO,cecily
NL-KVK-41150298,AMREF Flying Doctors,active,22,Netherlands,National NGO,amrefnl
XM-DAC-301-2,Canadá: Centro de Investigaciones para el Desarrollo Internacional,active,15,Canada,Other Public Sector,idrccrdi
GB-CHC-1000717,CODA International,active,21,United Kingdom,International NGO,coda
US-EIN-13-3287064,InterAction,active,21,United States,International NGO,interaction
ZA-ROC-1999/05072/08,Desmond Tutu HIV Foundation,active,80,South Africa,"Academic, Training and Research",dthfxx12
GB-CHC-1143852,Hagar International UK,active,21,United Kingdom,International NGO,hagar_uk
GB-COH-353570,Water Witness International,active,21,United Kingdom,International NGO,water-witness-international
NL-KVK-34200988 (deprecated),RAIN Foundation (antigua),active,21,Netherlands,International NGO,rainfoundation
NL-KVK-34229026,Stichting Aflatoun International,active,21,Netherlands,International NGO,aflatoun
GB-GOV-8,Reino Unido: Ministerio de Defensa,active,10,United Kingdom,Government,ukmod
