code,status,codeforiati:registry-identifier,codeforiati:organisation-type-code,codeforiati:organisation-type,codeforiati:hq-country-or-region
NL-KVK-34229026,active,aflatoun,21,International NGO,Netherlands
GB-GOV-8,active,ukmod,10,Government,United Kingdom
ZA-NPO-025-359,active,m2m_sa,21,International NGO,South Africa
NL-KVK-34214586,active,partos_nl,22,National NGO,Netherlands
XM-DAC-41304,active,unesco,40,Multilateral,France
GB-CHC-1157009,active,abaseen,21,International NGO,United Kingdom
ML-NIF-086108989R,active,asdap,22,National NGO,Mali
GB-CHC-1069182,active,unais,21,International NGO,United Kingdom
GB-COH-06133927,active,ava_admin,70,Private Sector,United Kingdom
GH-DSW-258,active,foe-ghana,22,National NGO,Ghana
XM-DAC-918-3,active,eib,40,Multilateral,(No country assigned)
GB-CHC-1084729,active,wccuk,21,International NGO,United Kingdom
MZ-MOJ-F2G1No4,active,magariro,22,National NGO,Mozambique
XI-IATI-EBRD,active,ebrd,40,Multilateral,"Bilateral, unspecified"
GB-CHC-000391,active,open_university,80,"Academic, Training and Research",United Kingdom
GB-CHC-1038785,active,mifumi_uk,21,International NGO,United Kingdom
GB-CHC-1094272,active,phe,21,International NGO,United Kingdom
XM-DAC-77,active,uasd,10,Government,Romania
XI-IATI-1001,active,tccec,70,Private Sector,United States
GB-CHC-1125217,active,welbodipartnership,80,"Academic, Training and Research",United Kingdom
FI-PRO-143138,active,kepa,22,National NGO,Finland
KE-NCB-OP/218/051/915/65,active,wtk,22,National NGO,Kenya
NL-KVK-41048542,active,agriterra,60,Foundation,Netherlands
UG-NGB-5914-7209,active,csu,22,National NGO,Uganda
GB-CHC-1150214,active,cww,21,International NGO,United Kingdom
GB-CHC-1054369,active,kwaafrica,21,International NGO,United Kingdom
KE-NGC-663,active,adrasom,21,International NGO,Somalia
MZ-MOJ-F30G1No89,active,anda,22,National NGO,Mozambique
GB-CHC-1117528,active,hha,21,International NGO,United Kingdom
NL-KVK-30285304,active,humana_houben,21,International NGO,Netherlands
GB-CHC-1148404,active,ieu,21,International NGO,United Kingdom
NL-KVK-41217404,active,gppac,21,International NGO,Netherlands
GB-COH-NI011322,active,wowni,21,International NGO,United Kingdom
GB-CHC-1123946,active,ybi,21,International NGO,United Kingdom
GB-CHC-1049160,active,asil,21,International NGO,United Kingdom
XM-DAC-2-10,active,be-dgd,10,Government,Belgium
GB-COH-1110949,active,mml,70,Private Sector,United Kingdom
US-EIN-941191246,active,taf,21,International NGO,United States
GB-CHC-1129603,active,cyan,21,International NGO,United Kingdom
GB-SC-SC012302,active,sciaf,21,International NGO,United Kingdom
GB-CHC-1151615,active,signal,21,International NGO,United Kingdom
